0.18 536906 0.146476 0.604058 0.24 770.246
0.18 542718 0.159313 0.647455 0.26 770.245
0.18 549812 0.17508 0.705202 0.28 770.278
0.18 557762 0.190404 0.754852 0.3 770.296
0.18 564075 0.205326 0.804287 0.32 770.287
0.18 570873 0.22168 0.858269 0.34 770.223
0.18 579582 0.235844 0.901481 0.36 770.295
0.18 586715 0.254076 0.966121 0.38 770.251
0.18 595080 0.269686 1.01035 0.4 770.239
0.18 603809 0.286972 1.07122 0.42 770.25
0.18 611605 0.30549 1.12692 0.44 770.218
0.18 619843 0.322666 1.18357 0.46 770.213
0.18 628733 0.342559 1.24027 0.48 770.276
0.18 638387 0.363908 1.30965 0.5 770.255
0.18 647148 0.382093 1.36575 0.52 770.285
0.18 657133 0.401375 1.42174 0.54 770.274
0.18 666943 0.424258 1.49207 0.56 770.261
0.18 677823 0.447952 1.55864 0.58 770.266
0.18 687717 0.468178 1.6197 0.6 770.246
0.18 698915 0.490625 1.68312 0.62 770.29
0.18 709713 0.515011 1.75529 0.64 770.257
0.18 720887 0.539968 1.8199 0.66 770.277
0.18 732994 0.567026 1.8996 0.68 770.276
0.18 745952 0.594339 1.97822 0.7 770.273
0.18 758308 0.620327 2.04656 0.72 770.255
0.18 771807 0.648372 2.11484 0.74 770.32
0.18 785945 0.678885 2.20583 0.76 770.296
0.18 800607 0.707372 2.27966 0.78 770.284
0.18 815421 0.738305 2.35459 0.8 770.263
0.18 830913 0.773004 2.45307 0.82 770.258
0.18 846036 0.805687 2.52359 0.84 770.268
0.18 863575 0.838496 2.61634 0.86 770.253
0.18 879982 0.881318 2.71783 0.88 770.266
0.18 897817 0.917999 2.80406 0.9 770.278
0.18 917059 0.959473 2.90926 0.92 770.263
0.18 936479 0.998624 2.99654 0.94 770.267
0.18 956483 1.04319 3.10002 0.96 770.272
0.18 978104 1.08875 3.20268 0.98 770.255
0.18 1000000 1.13376 3.30337 1 770.272
0.24 470745 0.0108891 0.146796 0.02 770.332
0.24 474828 0.0215573 0.186499 0.04 770.301
0.24 480928 0.0328282 0.228222 0.06 770.247
0.24 485339 0.0452096 0.271727 0.08 770.321
0.24 491158 0.0570977 0.316269 0.1 770.316
0.24 497136 0.0682107 0.352998 0.12 770.307
0.24 503090 0.0814208 0.40207 0.14 770.344
0.24 508204 0.0929942 0.43701 0.16 770.281
0.24 514792 0.105907 0.486701 0.18 770.343
0.24 520635 0.119723 0.534396 0.2 770.331
0.24 527754 0.133786 0.586045 0.22 770.293
0.24 533548 0.146718 0.628946 0.24 770.271
0.24 539922 0.161244 0.675585 0.26 770.303
0.24 547124 0.175664 0.724377 0.28 770.347
0.24 553839 0.191223 0.774258 0.3 770.273
0.24 561834 0.207163 0.831882 0.32 770.323
0.24 568600 0.22249 0.87782 0.34 770.303
0.24 576764 0.238748 0.93315 0.36 770.337
0.24 584336 0.254826 0.987086 0.38 770.315
0.24 591756 0.271029 1.03735 0.4 770.317
0.24 600147 0.289439 1.09596 0.42 770.262
0.24 608197 0.306634 1.14262 0.44 770.274
0.24 616090 0.325329 1.2031 0.46 770.305
0.24 624865 0.346481 1.26793 0.48 770.293
0.24 634671 0.363716 1.32398 0.5 770.309
0.24 644116 0.384406 1.3798 0.52 770.297
0.24 653299 0.407336 1.45283 0.54 770.271
0.24 664291 0.428571 1.51397 0.56 770.327
0.24 674565 0.450213 1.57056 0.58 770.31
0.24 685134 0.471641 1.63713 0.6 770.297
0.24 696760 0.495917 1.70724 0.62 770.314
0.24 706546 0.520713 1.77773 0.64 770.313
0.24 719230 0.545504 1.84712 0.66 770.322
0.24 730640 0.570769 1.9211 0.68 770.288
0.24 744140 0.59941 1.98847 0.7 770.301
0.24 756081 0.625441 2.06869 0.72 770.286
0.24 770049 0.654221 2.13564 0.74 770.322
0.24 784101 0.683749 2.21213 0.76 770.326
0.24 798141 0.716403 2.29965 0.78 770.3
0.24 813331 0.748116 2.38199 0.8 770.294
0.24 828067 0.781876 2.47545 0.82 770.328
0.24 844476 0.816582 2.56644 0.84 770.331
0.24 861495 0.851385 2.65178 0.86 770.319
0.24 878266 0.888164 2.74439 0.88 770.309
0.24 896386 0.929286 2.84099 0.9 770.332
0.24 915393 0.966224 2.92025 0.92 770.311
0.24 935175 1.01211 3.02948 0.94 770.299
0.24 956108 1.05304 3.12675 0.96 770.343
0.24 977331 1.10121 3.23167 0.98 770.297
0.24 1000000 1.14868 3.34608 1 770.339
0.3 466122 0.0111087 0.173723 0.02 770.338
0.3 472337 0.0221537 0.212649 0.04 770.328
0.3 477532 0.0329737 0.251659 0.06 770.37
0.3 482653 0.0452458 0.295121 0.08 770.35
0.3 487988 0.0569666 0.339471 0.1 770.335
0.3 494127 0.0696764 0.383238 0.12 770.342
0.3 498967 0.0817509 0.425118 0.14 770.293
0.3 506022 0.0941975 0.470159 0.16 770.329
0.3 511801 0.107622 0.513595 0.18 770.348
0.3 517782 0.120999 0.559247 0.2 770.302
0.3 524579 0.135198 0.611492 0.22 770.347
0.3 529897 0.148457 0.652186 0.24 770.353
0.3 536084 0.162749 0.699413 0.26 770.333
0.3 543348 0.177332 0.752318 0.28 770.387
0.3 550674 0.193421 0.799357 0.3 770.294
0.3 558485 0.207653 0.84659 0.32 770.358
0.3 565331 0.224914 0.90252 0.34 770.353
